Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/04 5:47:15 PM GMT+3,France,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,5 - extensive development needed,4,3,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 5:51:57 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Invertebrates,2,No idea,3,No idea,4,No idea,No idea,4,4,5 - extensive development needed,Email
2023/09/04 5:58:20 PM GMT+3,Ireland,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates,5 - extensive development needed,3,3,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,4,Email
2023/09/04 6:01:41 PM GMT+3,Sweden,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Micro-eukaryotes;Prokaryotes,4,1 - little development needed,1 - little development needed,5 - extensive development needed,2,2,4,5 - extensive development needed,5 - extensive development needed,No idea,Email
2023/09/04 6:08:33 PM GMT+3,Australia,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Invertebrates;Micro-eukaryotes,4,5 - extensive development needed,4,5 - extensive development needed,4,4,3,5 - extensive development needed,4,5 - extensive development needed,Social media
2023/09/04 6:12:20 PM GMT+3,Uganda,researcher (academic),< 2 years,Master/Undergraduate,"Sampling (e.g., fieldwork, collection of environmental samples, preservation)",,,Terrestrial ecosystems,Soil;Water,Vertebrates;Micro-eukaryotes,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,Social media
2023/09/04 6:13:17 PM GMT+3,Switzerland,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Invertebrates;Micro-eukaryotes;Prokaryotes,2,3,3,5 - extensive development needed,3,3,5 - extensive development needed,No idea,3,No idea,Social media
2023/09/04 6:18:25 PM GMT+3,China,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 6:30:24 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,5 - extensive development needed,4,5 - extensive development needed,3,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/04 6:31:36 PM GMT+3,Canada,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Invertebrates,3,5 - extensive development needed,5 - extensive development needed,4,4,4,4,5 - extensive development needed,4,4,Email
2023/09/04 6:40:49 PM GMT+3,Switzerland,service provider (commercial sector),> 5 years,,,Commercial sector,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae,2,5 - extensive development needed,3,5 - extensive development needed,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,Email
2023/09/04 6:46:40 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,2,5 - extensive development needed,3,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/04 6:54:21 PM GMT+3,Canada,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,2,3,3,4,4,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 7:03:14 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,3,3,3,5 - extensive development needed,3,3,3,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 7:14:40 PM GMT+3,United Kingdom,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Invertebrates,2,5 - extensive development needed,3,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,Email
2023/09/04 7:26:17 PM GMT+3,Germany,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,3,3,3,4,4,4,4,5 - extensive development needed,3,4,Email
2023/09/04 7:41:53 PM GMT+3,Canada,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Micro-eukaryotes,3,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 7:49:53 PM GMT+3,Iraq,researcher (academic),< 2 years,Group leader/Professor,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Plants/Macroalgae;Prokaryotes,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,from my colleague
2023/09/04 7:50:42 PM GMT+3,United States,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment,Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,3,3,5 - extensive development needed,4,4,4,3,3,No idea,Email
2023/09/04 7:56:51 PM GMT+3,Brazil,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Sediment;Water,Vertebrates,2,2,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,3,4,Email
2023/09/04 7:59:15 PM GMT+3,United States,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,2,1 - little development needed,2,5 - extensive development needed,4,4,4,5 - extensive development needed,3,5 - extensive development needed,Social media
2023/09/04 8:09:49 PM GMT+3,United States,researcher (academic),2-5 years,Group leader/Professor,"Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Invertebrates;Plants/Macroalgae;Micro-eukaryotes,3,5 - extensive development needed,2,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,No idea,5 - extensive development needed,Got an email.
2023/09/04 8:10:24 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,3,1 - little development needed,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 8:17:21 PM GMT+3,New Zealand,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,4,3,4,4,3,4,4,4,4,Email
2023/09/04 8:25:36 PM GMT+3,India,researcher (academic),> 5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,2,2,2,2,2,2,2,2,2,2,Email
2023/09/04 8:27:59 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Plants/Macroalgae,3,3,3,5 - extensive development needed,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 8:30:21 PM GMT+3,United States,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,5 - extensive development needed,5 - extensive development needed,4,4,4,4,4,No idea,4,No idea,Social media
2023/09/04 8:43:58 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,3,3,5 - extensive development needed,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 9:01:22 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates,4,3,3,No idea,3,No idea,No idea,5 - extensive development needed,4,3,Email
2023/09/04 9:22:03 PM GMT+3,United Kingdom,service provider (commercial sector),> 5 years,,,Commercial sector,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Soil;Sediment;Air;Water;Biofilm,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,2,4,Email
2023/09/04 9:40:46 PM GMT+3,Switzerland,researcher (academic),> 5 years,Group leader/Professor,"Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,5 - extensive development needed,1 - little development needed,1 - little development needed,5 - extensive development needed,3,3,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 9:41:07 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Water,Vertebrates;Plants/Macroalgae,3,3,3,5 - extensive development needed,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,2,5 - extensive development needed,Email
2023/09/04 9:42:00 PM GMT+3,Denmark,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil,Plants/Macroalgae,3,3,1 - little development needed,5 - extensive development needed,3,3,3,3,3,4,Email
2023/09/04 10:05:47 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Air;Water,Vertebrates;Invertebrates,2,3,2,4,4,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/04 10:18:05 PM GMT+3,Austria,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Invertebrates,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,3,Email
2023/09/04 10:18:35 PM GMT+3,Belgium,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,2,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,4,Email
2023/09/04 10:32:52 PM GMT+3,United States,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Micro-eukaryotes;Prokaryotes,1 - little development needed,2,1 - little development needed,5 - extensive development needed,No idea,4,1 - little development needed,3,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/04 10:34:02 PM GMT+3,Austria,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Sediment;Water,Vertebrates,4,2,3,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/04 10:36:17 PM GMT+3,United States,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment)",,,Marine ecosystems,Sediment;Water,Invertebrates;Plants/Macroalgae,4,3,3,No idea,4,3,5 - extensive development needed,5 - extensive development needed,No idea,No idea,Social media
2023/09/04 10:39:23 PM GMT+3,Cote d'Ivoire,researcher (academic),2-5 years,Doctoral student,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation)",,,Freshwater ecosystems,Water,Vertebrates,4,4,3,No idea,No idea,No idea,5 - extensive development needed,No idea,4,4,Social media
2023/09/04 10:39:38 PM GMT+3,United States,researcher (academic),> 5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);Development of assays and analysis techniques",,,Freshwater ecosystems,Soil;Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,3,5 - extensive development needed,5 - extensive development needed,4,4,3,5 - extensive development needed,2,5 - extensive development needed,Email
2023/09/04 11:05:25 PM GMT+3,New Zealand,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water;Biofilm,Invertebrates;Micro-eukaryotes;Prokaryotes,3,3,4,No idea,No idea,No idea,4,4,2,5 - extensive development needed,Email
2023/09/04 11:54:04 PM GMT+3,New Caledonia,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil,Micro-eukaryotes;Prokaryotes,1 - little development needed,1 - little development needed,1 - little development needed,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,3,No idea,Email
2023/09/04 11:56:05 PM GMT+3,Australia,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation)",,,Terrestrial ecosystems,Air,Plants/Macroalgae,5 - extensive development needed,4,3,2,2,2,5 - extensive development needed,4,3,4,Email
2023/09/04 11:56:10 PM GMT+3,United Kingdom,end-user (governmental organisation or similar),> 5 years,,,Government worker,"End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water;Biofilm,Invertebrates,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,2,2,3,5 - extensive development needed,4,5 - extensive development needed,Social media
2023/09/05 12:23:59 AM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Sediment;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,2,2,2,2,4,2,3,2,3,Email
2023/09/05 12:51:23 AM GMT+3,New Zealand,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water;Biofilm,Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,3,1 - little development needed,5 - extensive development needed,1 - little development needed,3,2,2,2,5 - extensive development needed,Email
2023/09/05 1:09:29 AM GMT+3,Australia,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Water,Vertebrates,4,No idea,4,5 - extensive development needed,5 - extensive development needed,4,No idea,4,2,4,Email
2023/09/05 1:14:52 AM GMT+3,Australia,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates,3,3,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/05 1:18:38 AM GMT+3,New Zealand,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,Email
